provider                    model                                                     context  max-out  thinking  images
alibaba-token-plan          deepseek-v3.2                                             131.1K   65.5K    yes       no    
alibaba-token-plan          deepseek-v4-flash                                         1M       384K     yes       no    
alibaba-token-plan          deepseek-v4-flash-0731                                    1M       384K     yes       no    
alibaba-token-plan          deepseek-v4-pro                                           1M       384K     yes       no    
alibaba-token-plan          deepseek-v4-pro-0813                                      1M       384K     yes       no    
alibaba-token-plan          deepseek-v4.1-flash                                       1M       384K     yes       yes   
alibaba-token-plan          glm-5                                                     202.8K   16.4K    yes       no    
... excerpt: openference rows only (full listing is one command, see README) ...
openference                 Auto                                                      131.1K   131.1K   yes       no    
openference                 DeepSeek-V4-Flash-0731                                    1.0M     384K     yes       yes   
openference                 DeepSeek-V4-Pro-0813                                      1.0M     384K     yes       no    
openference                 DeepSeek-V4.1-Flash                                       1.0M     384K     yes       yes   
openference                 GLM-4.7-Flash                                             131.1K   128K     yes       no    
openference                 GLM-5                                                     202.8K   128K     yes       no    
openference                 GLM-5.1                                                   202.8K   128K     yes       no    
openference                 GLM-5.2                                                   262.1K   128K     yes       no    
openference                 GLM-5.3                                                   1.0M     128K     yes       no    
openference                 GLM-5.3-Flash                                             1.0M     128K     yes       yes   
openference                 Kimi K2.6                                                 262.1K   131.1K   yes       yes   
openference                 Kimi K2.7 Code                                            262.1K   131.1K   yes       yes   
openference                 MiniMax M3                                                1.0M     131.1K   yes       yes   
openference                 Nemotron-3-120B                                           256K     131.1K   yes       no    
openference                 Qwen3.8 27b                                               262.1K   65.5K    yes       yes   
